Computerkey,PrincipalNm,ModelNm,DisplayNm,MediaTypeDesc,DeviceId,PhysicalDiskNm,PhysicalDiskSizeNbr,DiskID
1861,STRWS5103.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,38
1861,STRWS5103.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,20473,39
1861,STRWS5103.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE5,Fixed hard disk media,\\.\PHYSICALDRIVE5,\\.\PHYSICALDRIVE5,58361,40
1861,STRWS5103.odd.svc.company.com,WDC WD800JD-60LSA5,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,76316,41
1861,STRWS5103.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,204797,42
2407,STRVD5202.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,40954,43
2407,STRVD5202.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,61436,44
2523,STRWS5104.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE20,Fixed hard disk media,\\.\PHYSICALDRIVE20,\\.\PHYSICALDRIVE20,135164,45
2595,BG6VD1323.odd.svc.company.com,HP LOGICAL VOLUME SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,572136,46
2595,BG6VD1323.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,5114,47
2595,BG6VD1323.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,81917,48
2595,BG6VD1323.odd.svc.company.com,FALCON IPSTOR DISK  Multi-Path Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,470607,49
2595,BG6VD1323.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,204797,50
2699,STRVW6124.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE7,Fixed hard disk media,\\.\PHYSICALDRIVE7,\\.\PHYSICALDRIVE7,1019,51
2699,STRVW6124.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,52
2699,STRVW6124.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,1019,53
2699,STRVW6124.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE22,Fixed hard disk media,\\.\PHYSICALDRIVE22,\\.\PHYSICALDRIVE22,278878,54
2699,STRVW6124.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,81917,55
